query	no	title	link	description	total_text
전주 여행	1	 전주여행  대중교통이랑 렌트카중 어떤게 좋을까요?	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=477694429&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0	...  전주여행 때 움직이기 차가 편할지 대중교통이 편할지 알려주세요. 교통 상황이 어떤지 궁금합니다.  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행... 	 전주여행  대중교통이랑 렌트카중 어떤게 좋을까요? ...  전주여행 때 움직이기 차가 편할지 대중교통이 편할지 알려주세요. 교통 상황이 어떤지 궁금합니다.  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행... 
전주 여행	2	 전주여행 갈려고하는데요!	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=472294467&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0	 전주여행 을 갈려고하는데요!아는사람과 갈려고하는데 호텔은 좋은가격에 정했고~ 음..2박3일여행인데 얼마정도갖고가면좋을까요?그리고 맛집같은거 카페같은거 추천해주세요!  전주여행 을 갈려고하는데요!아는사람과 갈려고하는데... 	 전주여행 갈려고하는데요!  전주여행 을 갈려고하는데요!아는사람과 갈려고하는데 호텔은 좋은가격에 정했고~ 음..2박3일여행인데 얼마정도갖고가면좋을까요?그리고 맛집같은거 카페같은거 추천해주세요!  전주여행 을 갈려고하는데요!아는사람과 갈려고하는데... 
전주 여행	3	 전주 여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=472340028&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0	... 커플여행 가려고 하는데 추천 좀 해주세요 숙소는 잡았고 놀거리랑 맛집 등등 추천 해주시면 감사하겠습니다. 한옥마을은 갈겁니다 답변이 도움되셨으면 좋겠습니다 한옥마을, 전주한옥마을, 전주 맛집, 전주 놀거리,  전주 여행  추천	 전주 여행  ... 커플여행 가려고 하는데 추천 좀 해주세요 숙소는 잡았고 놀거리랑 맛집 등등 추천 해주시면 감사하겠습니다. 한옥마을은 갈겁니다 답변이 도움되셨으면 좋겠습니다 한옥마을, 전주한옥마을, 전주 맛집, 전주 놀거리,  전주 여행  추천
전주 여행	4	 전주  뚜벅이  여행 코스	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=473556720&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0	남친이랑 2박 3일로  전주 여행 가는데 뚜벅이에요! 숙소는 전주 한옥마을 내에 있는 곳인데 이틀동안 여행 코스 추천이나 맛집 추천 부탁드려요 (광고 싫어요ㅠ 남친이랑 2박 3일로  전주 여행 가는데 뚜벅이에요! 숙소는 전주 한옥마을... 	 전주  뚜벅이  여행 코스 남친이랑 2박 3일로  전주 여행 가는데 뚜벅이에요! 숙소는 전주 한옥마을 내에 있는 곳인데 이틀동안 여행 코스 추천이나 맛집 추천 부탁드려요 (광고 싫어요ㅠ 남친이랑 2박 3일로  전주 여행 가는데 뚜벅이에요! 숙소는 전주 한옥마을... 
전주 여행	5	1박2일  전주  커플 여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=461495433&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0	...  전주 여행 에 대해 도움을 드릴게요. 1. 남자친구의 차를 이용할지 KTX를 이용할지에 대해서는 여러 가지 요소를 고려해보셔야 합니다. 만약 교통체증이 예상되는 날짜라면 KTX를 이용하는 것이 편할 수 있습니다. 또한, 남자친구의... 	1박2일  전주  커플 여행  ...  전주 여행 에 대해 도움을 드릴게요. 1. 남자친구의 차를 이용할지 KTX를 이용할지에 대해서는 여러 가지 요소를 고려해보셔야 합니다. 만약 교통체증이 예상되는 날짜라면 KTX를 이용하는 것이 편할 수 있습니다. 또한, 남자친구의... 
전주 여행	6	고등학교친구들과  전주여행  당일치기	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=466553507&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0	지금 고등학교3학년 친구들과 함께 4월달에  전주여행 을 당일치기로 갈 예정인데 부모님께 뭐라고 말씀드리면 허락을 받을수 있을까요?ㅠㅠ 고등학교 시절 친구들과의 소중한 추억을 만들기 위해  전주 여행 을 다녀오기로 했습니다. 전주는... 	고등학교친구들과  전주여행  당일치기 지금 고등학교3학년 친구들과 함께 4월달에  전주여행 을 당일치기로 갈 예정인데 부모님께 뭐라고 말씀드리면 허락을 받을수 있을까요?ㅠㅠ 고등학교 시절 친구들과의 소중한 추억을 만들기 위해  전주 여행 을 다녀오기로 했습니다. 전주는... 
전주 여행	7	 전주 여행 코스 추천받습니다	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=467718602&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0	... 뭔가 박물관 관람이나 자연 경치 구경 산타기 등등은 별루에여 추천 부탁드립니다  전주 여행  코스 추천해드릴게요! 전주는 전통음식과 문화가 풍부한 곳으로 유명한데, 여러 즐길거리가 많아서 즐거운 여행을 즐길 수 있을 거예요. 1.... 	 전주 여행 코스 추천받습니다 ... 뭔가 박물관 관람이나 자연 경치 구경 산타기 등등은 별루에여 추천 부탁드립니다  전주 여행  코스 추천해드릴게요! 전주는 전통음식과 문화가 풍부한 곳으로 유명한데, 여러 즐길거리가 많아서 즐거운 여행을 즐길 수 있을 거예요. 1.... 
전주 여행	8	 전주여행 ..	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=473332244&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0	...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 전주는 대중교통이나 택시 이용하시는걸... 	 전주여행 .. ...  전주여행  전주맛집 국내여행 전주달봉이 달봉티비  전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다. 전주는 대중교통이나 택시 이용하시는걸... 
전주 여행	9	2박3일  전주여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=475523884&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0	이번주 토~월 2박3일 여자친구와  전주여행 을 가는데 여행경로 좀 알려주세요~~ 토요일엔 비가 온다고 하는데 실내데이트 가능한곳도 알려주시면 감사하겠습니다 ㅎㅎ 숙소는 전주한옥마을 근처에 잡았습니다. 토: 한옥마을 구경 후... 	2박3일  전주여행  이번주 토~월 2박3일 여자친구와  전주여행 을 가는데 여행경로 좀 알려주세요~~ 토요일엔 비가 온다고 하는데 실내데이트 가능한곳도 알려주시면 감사하겠습니다 ㅎㅎ 숙소는 전주한옥마을 근처에 잡았습니다. 토: 한옥마을 구경 후... 
전주 여행	10	 전주여행  2박3일 경비	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90109&docId=471097881&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0	보통  전주여행  2박3일 경비가 얼마정도 드나요? 숙소는 1박에 13만원인데를 가려고 하는데 비싼건가요? 보통  전주여행  2박3일 경비가 얼마정도 드나요? 숙소는 1박에 13만원인데를 가려고 하는데 비싼건가요? 질문에 도움이 되는... 	 전주여행  2박3일 경비 보통  전주여행  2박3일 경비가 얼마정도 드나요? 숙소는 1박에 13만원인데를 가려고 하는데 비싼건가요? 보통  전주여행  2박3일 경비가 얼마정도 드나요? 숙소는 1박에 13만원인데를 가려고 하는데 비싼건가요? 질문에 도움이 되는... 
